Index;Stressor;Compartment;Unit;GWP
1;Taxes less subsidies on products purchased: Total;Value.added;M.EUR;0
2;Other net taxes on production;Value.added;M.EUR;0
3;"Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled";Value.added;M.EUR;0
4;"Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled";Value.added;M.EUR;0
5;"Compensation of employees; wages, salaries, & employers' social contributions: High-skilled";Value.added;M.EUR;0
6;Operating surplus: Consumption of fixed capital;Value.added;M.EUR;0
7;Operating surplus: Rents on land;Value.added;M.EUR;0
8;Operating surplus: Royalties on resources;Value.added;M.EUR;0
9;Operating surplus: Remaining net operating surplus;Value.added;M.EUR;0
10;Employment: Low-skilled male;Employment.persons;1000 p;0
11;Employment: Low-skilled female;Employment.persons;1000 p;0
12;Employment: Medium-skilled male;Employment.persons;1000 p;0
13;Employment: Medium-skilled female;Employment.persons;1000 p;0
14;Employment: High-skilled male;Employment.persons;1000 p;0
15;Employment: High-skilled female;Employment.persons;1000 p;0
16;Employment hours: Low-skilled male;Employment.hours;M.hr;0
17;Employment hours: Low-skilled female;Employment.hours;M.hr;0
18;Employment hours: Medium-skilled male;Employment.hours;M.hr;0
19;Employment hours: Medium-skilled female;Employment.hours;M.hr;0
20;Employment hours: High-skilled male;Employment.hours;M.hr;0
21;Employment hours: High-skilled female;Employment.hours;M.hr;0
22;Employment: Vulnerable employment;Employment.persons;1000 p;0
23;Employment hours: Vulnerable employment;Employment.hours;M.hr;0
24;CO2 - combustion - air;Emissions;kg;1
25;CH4 - combustion - air;Emissions;kg;25
26;N2O - combustion - air;Emissions;kg;298
27;SOx - combustion - air;Emissions;kg;0
28;NOx - combustion - air;Emissions;kg;0
29;NH3 - combustion - air;Emissions;kg;0
30;CO - combustion - air;Emissions;kg;0
31;Benzo(a)pyrene - combustion - air;Emissions;kg;0
32;Benzo(b)fluoranthene - combustion - air;Emissions;kg;0
33;Benzo(k)fluoranthene - combustion - air;Emissions;kg;0
34;Indeno(1,2,3-cd)pyrene - combustion - air;Emissions;kg;0
35;PCBs - combustion - air;Emissions;kg;0
36;PCDD_F - combustion - air;Emissions;kg;0
37;HCB - combustion - air;Emissions;kg;0
38;NMVOC - combustion - air;Emissions;kg;0,045208277
39;PM10 - combustion - air;Emissions;kg;0
40;PM2.5 - combustion - air;Emissions;kg;0
41;TSP - combustion - air;Emissions;kg;0
42;As - combustion - air;Emissions;kg;0
43;Cd - combustion - air;Emissions;kg;0
44;Cr - combustion - air;Emissions;kg;0
45;Cu - combustion - air;Emissions;kg;0
46;Hg - combustion - air;Emissions;kg;0
47;Ni - combustion - air;Emissions;kg;0
48;Pb - combustion - air;Emissions;kg;0
49;Se - combustion - air;Emissions;kg;0
50;Zn - combustion - air;Emissions;kg;0
51;As - non combustion - Agglomeration plant - pellets - air;Emissions;kg;0
52;As - non combustion - Agglomeration plant - sinter - air;Emissions;kg;0
53;As - non combustion - Glass production - air;Emissions;kg;0
54;As - non combustion - Production of coke oven coke - air;Emissions;kg;0
55;As - non combustion - Production of gascoke - air;Emissions;kg;0
56;As - non combustion - Steel production: basic oxygen furnace - air;Emissions;kg;0
57;As - non combustion - Steel production: electric arc furnace - air;Emissions;kg;0
58;As - non combustion - Steel production: open hearth furnace - air;Emissions;kg;0
59;B(a)P - non combustion - Primary aluminium production - air;Emissions;kg;0
60;B(a)P - non combustion - Production of coke oven coke - air;Emissions;kg;0
61;B(a)P - non combustion - Production of gascoke - air;Emissions;kg;0
62;B(b)F - non combustion - Primary aluminium production - air;Emissions;kg;0
63;B(b)F - non combustion - Production of coke oven coke - air;Emissions;kg;0
64;B(b)F - non combustion - Production of gascoke - air;Emissions;kg;0
65;B(k)F - non combustion - Primary aluminium production - air;Emissions;kg;0
66;B(k)F - non combustion - Production of coke oven coke - air;Emissions;kg;0
67;B(k)F - non combustion - Production of gascoke - air;Emissions;kg;0
68;CH4 - non combustion - Extraction/production of (natural) gas - air;Emissions;kg;25
69;CH4 - non combustion - Extraction/production of crude oil - air;Emissions;kg;25
70;CH4 - non combustion - Mining of antracite - air;Emissions;kg;25
71;CH4 - non combustion - Mining of bituminous coal - air;Emissions;kg;25
72;CH4 - non combustion - Mining of coking coal - air;Emissions;kg;25
