nace.code;nace.title;workunit;urlSlug;isco.code;isco.title;isco.code.major;isco.title.major;direction.id;direction.title;direction.urlSlug
A;Zemědělství, lesnictví, rybářství;Agronom;agronom;3142;Technici v oblasti zemědělství, rybářství a vodohospodářství (kromě úpravy a rozvodu vody);3;Techničtí a odborní pracovníci;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel terarijních zvířat;chovatel-terarijnich-zvir;5164;Chovatelé a ošetřovatelé zvířat v zařízeních určených pro chov a příbuzní pracovníci;5;Pracovníci ve službách a prodeji;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel a ošetřovatel prasat;chovatel-a-osetrovatel-pr;6121;Chovatelé hospodářských zvířat (kromě drůbeže);6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel a ošetřovatel ovcí a koz;chovatel-a-osetrovatel-ov;6121;Chovatelé hospodářských zvířat (kromě drůbeže);6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel služebních zvířat;chovatel-sluzebnich-zvira;5164;Chovatelé a ošetřovatelé zvířat v zařízeních určených pro chov a příbuzní pracovníci;5;Pracovníci ve službách a prodeji;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel a ošetřovatel kožešinových zvířat;chovatel-a-osetrovatel-ko;6121;Chovatelé hospodářských zvířat (kromě drůbeže);6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel laboratorních zvířat;chovatel-laboratornich-zv;5164;Chovatelé a ošetřovatelé zvířat v zařízeních určených pro chov a příbuzní pracovníci;5;Pracovníci ve službách a prodeji;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel a ošetřovatel drůbeže a běžců;chovatel-a-osetrovatel-dr;6122;Chovatelé drůbeže;6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel a jezdec koní;chovatel-a-jezdec-koni;6121;Chovatelé hospodářských zvířat (kromě drůbeže);6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel a ošetřovatel skotu;chovatel-a-osetrovatel-sk;6121;Chovatelé hospodářských zvířat (kromě drůbeže);6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel zvířat v zoo;chovatel-zvirat-v-zoo;5164;Chovatelé a ošetřovatelé zvířat v zařízeních určených pro chov a příbuzní pracovníci;5;Pracovníci ve službách a prodeji;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel exotických ptáků;chovatel-exotickych-ptaku;5164;Chovatelé a ošetřovatelé zvířat v zařízeních určených pro chov a příbuzní pracovníci;5;Pracovníci ve službách a prodeji;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel včel;chovatel-vcel;6123;Včelaři a chovatelé bource morušového;6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel vodní drůbeže;chovatel-vodni-drubeze;6122;Chovatelé drůbeže;6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel okrasných a akvarijních ryb;chovatel-okrasnych-a-akva;6221;Kvalifikovaní pracovníci v oblasti akvakultury;6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel koní;chovatel-koni;6121;Chovatelé hospodářských zvířat (kromě drůbeže);6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel a jezdec sportovních koní;chovatel-a-jezdec-sportov;6121;Chovatelé hospodářských zvířat (kromě drůbeže);6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel a jezdec dostihových koní;chovatel-a-jezdec-dostiho;6121;Chovatelé hospodářských zvířat (kromě drůbeže);6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Chovatel a jezdec pro přípravu a testaci mladých koní;chovatel-a-jezdec-pro-pri;6121;Chovatelé hospodářských zvířat (kromě drůbeže);6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Dopravce dříví;dopravce-drivi;8341;Řidiči a obsluha zemědělských a lesnických strojů;8;Obsluha strojů a zařízení, montéři;13;Lesní hospodářství;lesni-hospodarstvi
A;Zemědělství, lesnictví, rybářství;Europodkovář;europodkovar;7221;Kováři;7;Řemeslníci a opraváři;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Florista;florista;6113;Zahradníci a pěstitelé v zahradnických školkách;6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Greenkeeper specialista;greenkeeper-specialista;2132;Specialisté v oblasti zemědělství, lesnictví, rybářství a vodního hospodářství;2;Specialisté;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Greenkeeper;greenkeeper;6113;Zahradníci a pěstitelé v zahradnických školkách;6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Hodnotitel vína;hodnotitel-vina;7515;Ochutnávači, degustátoři a kontroloři kvality potravin a nápojů a příbuzní pracovníci;7;Řemeslníci a opraváři;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Hodnotitel koní;hodnotitel-koni;3142;Technici v oblasti zemědělství, rybářství a vodohospodářství (kromě úpravy a rozvodu vody);3;Techničtí a odborní pracovníci;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Inseminační technik;inseminacni-technik;3142;Technici v oblasti zemědělství, rybářství a vodohospodářství (kromě úpravy a rozvodu vody);3;Techničtí a odborní pracovníci;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
A;Zemědělství, lesnictví, rybářství;Květinář;kvetinar;6113;Zahradníci a pěstitelé v zahradnických školkách;6;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;23;Zemědělství a veterinární péče;zemedelstvi-a-veterinarni-pece
